Processor used to perform tests: Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz
C,gamma,kernel,test_accuracy,test_f1_weighted,learn_time,test_time
0.6,0.0001,linear,0.9208,0.9215,129.22,8.10
0.6,0.0001,poly,0.0826,0.0572,848.15,20.12
0.6,0.0001,rbf,0.2222,0.2137,915.07,32.11
0.6,0.0001,sigmoid,0.1771,0.1580,826.37,19.82
0.6,0.0003,linear,0.9208,0.9215,130.70,8.49
0.6,0.0003,poly,0.0826,0.0572,797.73,19.78
0.6,0.0003,rbf,0.3458,0.3695,759.01,33.12
0.6,0.0003,sigmoid,0.2639,0.2717,732.86,19.77
0.6,0.006,linear,0.9208,0.9215,129.14,8.61
0.6,0.006,poly,0.5556,0.6187,425.43,15.66
0.6,0.006,rbf,0.6785,0.7111,501.32,27.48
0.6,0.006,sigmoid,0.1160,0.0909,438.99,18.57
0.6,0.001,linear,0.9208,0.9215,134.88,8.34
0.6,0.001,poly,0.1479,0.1492,710.06,19.12
0.6,0.001,rbf,0.5028,0.5308,585.00,31.16
0.6,0.001,sigmoid,0.3896,0.4220,554.00,19.67
0.6,0.003,linear,0.9208,0.9215,127.96,7.88
0.6,0.003,poly,0.3826,0.4500,485.09,16.62
0.6,0.003,rbf,0.6118,0.6462,473.46,28.38
0.6,0.003,sigmoid,0.2694,0.2866,468.95,19.71
0.6,0.006,linear,0.9208,0.9215,121.32,8.43
0.6,0.006,poly,0.5556,0.6187,392.30,14.78
0.6,0.006,rbf,0.6785,0.7111,508.09,28.47
0.6,0.006,sigmoid,0.1160,0.0909,441.02,19.50
0.6,0.01,linear,0.9208,0.9215,134.67,8.40
0.6,0.01,poly,0.6417,0.6944,315.69,13.86
0.6,0.01,rbf,0.7097,0.7384,465.78,28.35
0.6,0.01,sigmoid,0.1014,0.0464,432.63,19.45
0.6,0.03,linear,0.9208,0.9215,126.44,8.21
0.6,0.03,poly,0.7222,0.7549,199.12,10.79
0.6,0.03,rbf,0.7715,0.7829,592.67,28.28
0.6,0.03,sigmoid,0.0174,0.0031,533.10,19.11
0.6,0.06,linear,0.9208,0.9215,129.32,8.32
0.6,0.06,poly,0.7444,0.7623,162.97,9.74
0.6,0.06,rbf,0.6951,0.7219,691.35,30.14
0.6,0.06,sigmoid,0.0201,0.0088,604.64,19.64
0.6,0.1,linear,0.9208,0.9215,129.54,8.34
0.6,0.1,poly,0.7667,0.7722,138.02,9.02
0.6,0.1,rbf,0.6007,0.6555,748.81,29.36
0.6,0.1,sigmoid,0.0292,0.0146,689.19,20.29
0.6,0.3,linear,0.9208,0.9215,129.63,7.93
0.6,0.3,poly,0.7771,0.7852,106.72,7.67
0.6,0.3,rbf,0.4208,0.5031,835.59,31.86
0.6,0.3,sigmoid,0.0160,0.0033,793.99,19.61
0.6,0.6,linear,0.9208,0.9215,125.39,8.27
0.6,0.6,poly,0.7701,0.7791,96.67,7.74
0.6,0.6,rbf,0.3139,0.3801,885.54,32.11
0.6,0.6,sigmoid,0.0299,0.0048,806.91,20.28
0.6,1,linear,0.9208,0.9215,124.40,8.20
0.6,1,poly,0.7611,0.7699,98.18,7.71
0.6,1,rbf,0.2285,0.2886,918.82,32.84
0.6,1,sigmoid,0.0333,0.0039,812.36,20.36
1,0.0001,linear,0.9285,0.9295,118.63,8.06
1,0.0001,poly,0.0826,0.0572,835.12,20.45
1,0.0001,rbf,0.2674,0.2745,865.94,32.72
1,0.0001,sigmoid,0.2035,0.1931,818.90,20.02
1,0.0003,linear,0.9285,0.9295,122.32,8.37
1,0.0003,poly,0.0826,0.0572,800.48,20.16
1,0.0003,rbf,0.4181,0.4515,733.80,31.98
1,0.0003,sigmoid,0.3215,0.3416,732.78,20.55
1,0.006,linear,0.9285,0.9295,123.29,8.20
1,0.006,poly,0.5882,0.6481,375.62,14.81
1,0.006,rbf,0.7292,0.7607,444.67,26.56
1,0.006,sigmoid,0.1375,0.0979,368.32,19.66
1,0.001,linear,0.9285,0.9295,122.38,8.16
1,0.001,poly,0.1889,0.2108,695.77,19.69
1,0.001,rbf,0.5465,0.5807,577.40,30.66
1,0.001,sigmoid,0.4326,0.4670,545.82,19.63
1,0.003,linear,0.9285,0.9295,121.33,7.72
1,0.003,poly,0.4181,0.4857,453.99,16.45
1,0.003,rbf,0.6667,0.7016,423.07,28.15
1,0.003,sigmoid,0.2458,0.2712,390.82,19.27
1,0.006,linear,0.9285,0.9295,116.63,7.78
1,0.006,poly,0.5882,0.6481,383.42,15.20
1,0.006,rbf,0.7292,0.7607,449.20,27.15
1,0.006,sigmoid,0.1375,0.0979,406.49,18.56
1,0.01,linear,0.9285,0.9295,125.10,8.11
1,0.01,poly,0.6667,0.7188,293.51,13.37
1,0.01,rbf,0.7653,0.7888,437.61,26.89
1,0.01,sigmoid,0.1021,0.0549,426.41,19.40
1,0.03,linear,0.9285,0.9295,120.00,7.84
1,0.03,poly,0.7361,0.7650,189.50,10.42
1,0.03,rbf,0.8208,0.8271,560.61,27.68
1,0.03,sigmoid,0.0174,0.0031,490.91,19.90
1,0.06,linear,0.9285,0.9295,121.31,7.85
1,0.06,poly,0.7549,0.7688,155.01,8.80
1,0.06,rbf,0.8083,0.8165,732.02,28.70
1,0.06,sigmoid,0.0208,0.0077,554.59,20.02
1,0.1,linear,0.9285,0.9295,120.98,7.90
1,0.1,poly,0.7764,0.7822,133.09,8.49
1,0.1,rbf,0.7160,0.7581,785.50,30.64
1,0.1,sigmoid,0.0312,0.0195,647.71,19.85
1,0.3,linear,0.9285,0.9295,118.38,7.78
1,0.3,poly,0.7736,0.7820,105.73,7.59
1,0.3,rbf,0.5653,0.6473,850.05,31.71
1,0.3,sigmoid,0.0292,0.0037,781.88,19.89
1,0.6,linear,0.9285,0.9295,116.66,8.27
1,0.6,poly,0.7646,0.7733,94.93,8.01
1,0.6,rbf,0.4354,0.5305,897.66,32.61
1,0.6,sigmoid,0.0299,0.0048,811.85,19.92
1,1,linear,0.9285,0.9295,116.71,7.86
1,1,poly,0.7639,0.7727,99.23,7.94
1,1,rbf,0.3514,0.4413,916.34,32.67
1,1,sigmoid,0.0333,0.0039,815.16,20.20
3,0.0001,linear,0.9208,0.9219,109.46,7.41
3,0.0001,poly,0.0826,0.0572,813.65,20.02
3,0.0001,rbf,0.4111,0.4467,720.24,32.62
3,0.0001,sigmoid,0.3229,0.3431,727.31,20.32
3,0.0003,linear,0.9208,0.9219,109.65,7.79
3,0.0003,poly,0.0847,0.0571,814.49,20.15
3,0.0003,rbf,0.5354,0.5704,611.36,30.62
3,0.0003,sigmoid,0.4569,0.4937,604.42,19.72
3,0.006,linear,0.9208,0.9219,112.83,8.07
3,0.006,poly,0.6431,0.6960,326.52,14.03
3,0.006,rbf,0.8181,0.8330,338.45,24.87
3,0.006,sigmoid,0.1264,0.0910,348.62,19.34
3,0.001,linear,0.9208,0.9219,111.19,7.77
3,0.001,poly,0.2632,0.3191,664.10,19.72
3,0.001,rbf,0.6632,0.6987,467.43,25.99
3,0.001,sigmoid,0.4917,0.5238,471.07,18.72
3,0.003,linear,0.9208,0.9219,112.21,7.87
3,0.003,poly,0.5104,0.5754,431.29,15.83
3,0.003,rbf,0.7750,0.8009,351.65,24.36
3,0.003,sigmoid,0.2000,0.2148,322.91,19.57
3,0.006,linear,0.9208,0.9219,110.01,7.52
3,0.006,poly,0.6431,0.6960,308.43,14.52
3,0.006,rbf,0.8181,0.8330,346.98,24.15
3,0.006,sigmoid,0.1264,0.0910,358.62,18.30
3,0.01,linear,0.9208,0.9219,114.86,7.98
3,0.01,poly,0.6931,0.7370,257.06,12.01
3,0.01,rbf,0.8458,0.8533,345.47,24.15
3,0.01,sigmoid,0.0986,0.0513,389.23,19.98
3,0.03,linear,0.9208,0.9219,111.24,7.68
3,0.03,poly,0.7444,0.7646,170.71,10.03
3,0.03,rbf,0.8972,0.8980,531.37,26.65
3,0.03,sigmoid,0.0278,0.0068,462.37,19.88
3,0.06,linear,0.9208,0.9219,108.57,7.89
3,0.06,poly,0.7701,0.7755,138.08,9.37
3,0.06,rbf,0.8701,0.8755,734.04,28.59
3,0.06,sigmoid,0.0167,0.0048,521.43,20.00
3,0.1,linear,0.9208,0.9219,108.75,7.95
3,0.1,poly,0.7868,0.7935,121.84,8.46
3,0.1,rbf,0.7681,0.8085,825.55,28.88
3,0.1,sigmoid,0.0229,0.0118,572.15,20.25
3,0.3,linear,0.9208,0.9219,110.23,7.65
3,0.3,poly,0.7736,0.7822,99.37,7.50
3,0.3,rbf,0.6042,0.6864,872.07,31.20
3,0.3,sigmoid,0.0292,0.0037,772.81,20.29
3,0.6,linear,0.9208,0.9219,108.37,7.59
3,0.6,poly,0.7625,0.7714,98.84,7.73
3,0.6,rbf,0.4694,0.5675,900.21,32.04
3,0.6,sigmoid,0.0299,0.0048,802.74,20.11
3,1,linear,0.9208,0.9219,109.85,7.49
3,1,poly,0.7625,0.7713,99.35,7.85
3,1,rbf,0.3924,0.4881,911.98,31.23
3,1,sigmoid,0.0333,0.0039,802.72,20.26
6,0.0001,linear,0.9194,0.9203,109.35,7.02
6,0.0001,poly,0.0826,0.0572,811.84,20.45
6,0.0001,rbf,0.4924,0.5268,663.05,30.26
6,0.0001,sigmoid,0.4076,0.4436,663.87,19.83
6,0.0003,linear,0.9194,0.9203,109.19,7.67
6,0.0003,poly,0.0944,0.0694,807.12,19.71
6,0.0003,rbf,0.6090,0.6456,523.98,28.46
6,0.0003,sigmoid,0.5236,0.5609,534.51,18.86
6,0.006,linear,0.9194,0.9203,107.52,7.96
6,0.006,poly,0.6729,0.7242,284.32,12.57
6,0.006,rbf,0.8653,0.8717,271.99,22.87
6,0.006,sigmoid,0.1222,0.0858,339.17,18.85
6,0.001,linear,0.9194,0.9203,107.04,7.59
6,0.001,poly,0.3181,0.3815,617.17,18.15
6,0.001,rbf,0.7333,0.7634,384.31,25.02
6,0.001,sigmoid,0.5125,0.5423,408.65,17.13
6,0.003,linear,0.9194,0.9203,109.67,7.58
6,0.003,poly,0.5736,0.6357,396.75,15.71
6,0.003,rbf,0.8139,0.8299,290.00,22.79
6,0.003,sigmoid,0.2028,0.2203,302.63,19.41
6,0.006,linear,0.9194,0.9203,107.20,7.44
6,0.006,poly,0.6729,0.7242,297.45,13.26
6,0.006,rbf,0.8653,0.8717,293.15,22.27
6,0.006,sigmoid,0.1222,0.0858,341.58,17.86
6,0.01,linear,0.9194,0.9203,110.98,7.70
6,0.01,poly,0.7097,0.7492,240.18,11.15
6,0.01,rbf,0.8993,0.9013,302.33,22.90
6,0.01,sigmoid,0.0972,0.0502,387.16,19.37
6,0.03,linear,0.9194,0.9203,105.61,7.65
6,0.03,poly,0.7444,0.7606,156.40,9.56
6,0.03,rbf,0.9194,0.9197,509.81,25.59
6,0.03,sigmoid,0.0278,0.0068,443.81,20.04
6,0.06,linear,0.9194,0.9203,109.76,7.40
6,0.06,poly,0.7750,0.7811,128.88,8.35
6,0.06,rbf,0.8778,0.8833,730.91,27.99
6,0.06,sigmoid,0.0174,0.0031,476.36,20.32
6,0.1,linear,0.9194,0.9203,106.21,7.31
6,0.1,poly,0.7812,0.7879,116.56,8.22
6,0.1,rbf,0.7729,0.8140,812.84,29.74
6,0.1,sigmoid,0.0187,0.0058,544.17,19.82
6,0.3,linear,0.9194,0.9203,107.81,7.43
6,0.3,poly,0.7674,0.7761,98.26,7.88
6,0.3,rbf,0.6097,0.6928,881.81,31.23
6,0.3,sigmoid,0.0292,0.0037,747.00,20.07
6,0.6,linear,0.9194,0.9203,104.32,7.37
6,0.6,poly,0.7646,0.7735,98.56,7.74
6,0.6,rbf,0.4694,0.5675,909.96,31.65
6,0.6,sigmoid,0.0292,0.0036,793.70,19.71
6,1,linear,0.9194,0.9203,108.01,7.55
6,1,poly,0.7618,0.7705,98.57,7.64
6,1,rbf,0.3924,0.4881,928.47,32.85
6,1,sigmoid,0.0333,0.0039,795.02,20.39
10,0.0001,linear,0.9160,0.9168,103.68,7.33
10,0.0001,poly,0.0826,0.0572,797.55,19.16
10,0.0001,rbf,0.5444,0.5820,591.84,30.02
10,0.0001,sigmoid,0.4660,0.5025,598.94,19.49
10,0.0003,linear,0.9160,0.9168,107.68,7.23
10,0.0003,poly,0.1139,0.0968,790.40,19.85
10,0.0003,rbf,0.6590,0.6943,462.53,26.65
10,0.0003,sigmoid,0.5778,0.6150,471.49,17.96
10,0.006,linear,0.9160,0.9168,107.29,7.41
10,0.006,poly,0.6813,0.7287,270.38,12.50
10,0.006,rbf,0.9014,0.9037,256.13,21.81
10,0.006,sigmoid,0.1229,0.0867,344.78,18.74
10,0.001,linear,0.9160,0.9168,106.17,7.61
10,0.001,poly,0.3500,0.4147,593.94,18.08
10,0.001,rbf,0.7799,0.8046,326.84,23.17
10,0.001,sigmoid,0.5299,0.5510,360.10,16.74
10,0.003,linear,0.9160,0.9168,108.96,7.58
10,0.003,poly,0.5986,0.6540,363.43,15.03
10,0.003,rbf,0.8514,0.8610,258.72,21.10
10,0.003,sigmoid,0.1896,0.2129,287.55,19.57
10,0.006,linear,0.9160,0.9168,106.72,7.30
10,0.006,poly,0.6813,0.7287,277.92,12.45
10,0.006,rbf,0.9014,0.9037,257.68,21.54
10,0.006,sigmoid,0.1229,0.0867,340.56,18.30
10,0.01,linear,0.9160,0.9168,109.94,7.60
10,0.01,poly,0.7125,0.7495,220.76,10.71
10,0.01,rbf,0.9201,0.9210,282.19,22.05
10,0.01,sigmoid,0.0958,0.0487,401.66,19.45
10,0.03,linear,0.9160,0.9168,105.40,7.55
10,0.03,poly,0.7569,0.7675,148.84,9.15
10,0.03,rbf,0.9208,0.9211,497.35,24.82
10,0.03,sigmoid,0.0278,0.0068,438.23,19.74
10,0.06,linear,0.9160,0.9168,105.94,7.35
10,0.06,poly,0.7861,0.7921,124.87,8.24
10,0.06,rbf,0.8806,0.8861,723.38,28.44
10,0.06,sigmoid,0.0174,0.0031,466.60,19.57
10,0.1,linear,0.9160,0.9168,104.15,7.41
10,0.1,poly,0.7764,0.7841,111.15,8.11
10,0.1,rbf,0.7736,0.8147,827.57,29.43
10,0.1,sigmoid,0.0181,0.0046,528.06,19.77
10,0.3,linear,0.9160,0.9168,100.98,7.37
10,0.3,poly,0.7611,0.7698,93.07,7.66
10,0.3,rbf,0.6090,0.6920,899.99,31.40
10,0.3,sigmoid,0.0292,0.0037,752.62,20.26
10,0.6,linear,0.9160,0.9168,106.19,7.34
10,0.6,poly,0.7632,0.7720,96.31,7.43
10,0.6,rbf,0.4694,0.5675,920.86,31.91
10,0.6,sigmoid,0.0292,0.0036,817.15,20.42
10,1,linear,0.9160,0.9168,105.20,7.19
10,1,poly,0.7618,0.7705,99.03,8.43
10,1,rbf,0.3924,0.4881,934.27,31.80
10,1,sigmoid,0.0333,0.0039,811.32,20.90
30,0.0001,linear,0.9132,0.9142,109.84,7.92
30,0.0001,poly,0.0826,0.0572,830.37,19.67
30,0.0001,rbf,0.6583,0.6938,452.42,26.39
30,0.0001,sigmoid,0.5806,0.6181,475.54,17.87
30,0.0003,linear,0.9132,0.9142,110.32,7.82
30,0.0003,poly,0.1708,0.1821,750.78,20.14
30,0.0003,rbf,0.7632,0.7890,337.18,23.34
30,0.0003,sigmoid,0.6771,0.7104,356.62,15.84
30,0.006,linear,0.9132,0.9142,106.29,7.78
30,0.006,poly,0.7125,0.7517,225.16,11.73
30,0.006,rbf,0.9361,0.9365,198.33,19.66
30,0.006,sigmoid,0.1222,0.0862,333.30,18.45
30,0.001,linear,0.9132,0.9142,106.99,7.57
30,0.001,poly,0.4278,0.4951,503.04,16.68
30,0.001,rbf,0.8514,0.8609,238.50,19.28
30,0.001,sigmoid,0.4840,0.5120,262.04,16.66
30,0.003,linear,0.9132,0.9142,104.46,7.61
30,0.003,poly,0.6583,0.7118,301.45,13.89
30,0.003,rbf,0.9132,0.9146,187.59,18.62
30,0.003,sigmoid,0.1889,0.2091,273.71,18.67
30,0.006,linear,0.9132,0.9142,106.79,7.71
30,0.006,poly,0.7125,0.7517,240.03,11.32
30,0.006,rbf,0.9361,0.9365,210.60,19.98
30,0.006,sigmoid,0.1222,0.0862,334.52,18.42
30,0.01,linear,0.9132,0.9142,107.34,7.62
30,0.01,poly,0.7375,0.7660,192.47,10.36
30,0.01,rbf,0.9340,0.9344,248.95,20.83
30,0.01,sigmoid,0.0951,0.0482,393.08,19.07
30,0.03,linear,0.9132,0.9142,107.45,7.45
30,0.03,poly,0.7771,0.7830,137.23,8.62
30,0.03,rbf,0.9250,0.9253,499.70,24.56
30,0.03,sigmoid,0.0278,0.0068,419.45,19.36
30,0.06,linear,0.9132,0.9142,104.67,7.58
30,0.06,poly,0.7778,0.7852,112.13,8.32
30,0.06,rbf,0.8812,0.8873,717.24,27.27
30,0.06,sigmoid,0.0174,0.0031,441.99,19.68
30,0.1,linear,0.9132,0.9142,104.90,7.54
30,0.1,poly,0.7722,0.7808,105.06,8.09
30,0.1,rbf,0.7743,0.8158,807.71,28.81
30,0.1,sigmoid,0.0146,0.0032,484.91,19.27
30,0.3,linear,0.9132,0.9142,105.86,7.17
30,0.3,poly,0.7632,0.7721,96.62,7.36
30,0.3,rbf,0.6090,0.6920,882.84,30.72
30,0.3,sigmoid,0.0292,0.0094,700.11,19.77
30,0.6,linear,0.9132,0.9142,103.40,7.42
30,0.6,poly,0.7618,0.7705,100.86,7.70
30,0.6,rbf,0.4694,0.5675,904.16,32.09
30,0.6,sigmoid,0.0292,0.0036,785.73,20.15
30,1,linear,0.9132,0.9142,104.69,7.30
30,1,poly,0.7618,0.7705,94.79,7.78
30,1,rbf,0.3924,0.4881,921.10,32.00
30,1,sigmoid,0.0333,0.0039,791.74,20.46
60,0.0001,linear,0.9132,0.9141,101.56,7.08
60,0.0001,poly,0.0833,0.0568,825.36,19.42
60,0.0001,rbf,0.7306,0.7607,370.14,24.98
60,0.0001,sigmoid,0.6486,0.6837,399.68,16.85
60,0.0003,linear,0.9132,0.9141,109.73,7.60
60,0.0003,poly,0.2299,0.2706,716.88,19.65
60,0.0003,rbf,0.8097,0.8266,275.21,19.97
60,0.0003,sigmoid,0.7340,0.7596,299.00,14.16
60,0.006,linear,0.9132,0.9141,107.13,7.87
60,0.006,poly,0.7194,0.7543,216.61,11.17
60,0.006,rbf,0.9347,0.9351,192.02,19.46
