Processor used to perform tests: Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz
C,gamma,kernel,test_accuracy,test_f1_weighted,learn_time,test_time
0.03,0.0001,linear,0.7951,0.8126,218.08,12.55
0.03,0.0001,poly,0.0826,0.0572,744.52,20.01
0.03,0.0001,rbf,0.1757,0.1583,813.16,31.98
0.03,0.0001,sigmoid,0.1722,0.1547,658.40,19.65
0.03,0.0003,linear,0.7951,0.8126,217.47,12.46
0.03,0.0003,poly,0.0826,0.0572,654.82,19.32
0.03,0.0003,rbf,0.1708,0.1484,813.85,31.79
0.03,0.0003,sigmoid,0.1715,0.1532,705.75,20.60
0.03,0.006,linear,0.7951,0.8126,244.46,12.76
0.03,0.006,poly,0.3236,0.3884,625.69,18.66
0.03,0.006,rbf,0.2799,0.2601,882.56,32.58
0.03,0.006,sigmoid,0.1556,0.1008,833.76,21.03
0.03,0.001,linear,0.7951,0.8126,258.82,12.67
0.03,0.001,poly,0.0826,0.0572,789.08,21.19
0.03,0.001,rbf,0.1792,0.1553,891.58,33.69
0.03,0.001,sigmoid,0.1792,0.1483,765.33,20.49
0.03,0.003,linear,0.7951,0.8126,251.23,12.86
0.03,0.003,poly,0.1708,0.1821,702.75,20.14
0.03,0.003,rbf,0.2437,0.2235,926.26,33.79
0.03,0.003,sigmoid,0.2049,0.1535,845.37,21.21
0.03,0.006,linear,0.7951,0.8126,267.51,12.51
0.03,0.006,poly,0.3236,0.3884,640.17,18.98
0.03,0.006,rbf,0.2799,0.2601,873.56,33.11
0.03,0.006,sigmoid,0.1556,0.1008,843.58,20.33
0.03,0.01,linear,0.7951,0.8126,251.82,12.80
0.03,0.01,poly,0.4278,0.4951,510.85,17.23
0.03,0.01,rbf,0.3014,0.2897,905.60,32.33
0.03,0.01,sigmoid,0.0944,0.0827,850.31,20.36
0.03,0.03,linear,0.7951,0.8126,256.88,13.14
0.03,0.03,poly,0.6583,0.7118,319.83,13.13
0.03,0.03,rbf,0.2583,0.2531,869.18,32.79
0.03,0.03,sigmoid,0.0167,0.0057,803.64,20.25
0.03,0.06,linear,0.7951,0.8126,255.18,12.81
0.03,0.06,poly,0.7125,0.7517,232.65,11.73
0.03,0.06,rbf,0.2278,0.1962,911.74,32.84
0.03,0.06,sigmoid,0.0139,0.0021,803.75,20.43
0.03,0.1,linear,0.7951,0.8126,248.93,12.44
0.03,0.1,poly,0.7375,0.7660,189.44,10.51
0.03,0.1,rbf,0.1903,0.1693,925.34,32.30
0.03,0.1,sigmoid,0.0153,0.0023,808.47,19.91
0.03,0.3,linear,0.7951,0.8126,241.82,12.82
0.03,0.3,poly,0.7771,0.7830,128.85,9.03
0.03,0.3,rbf,0.1264,0.1262,924.94,32.73
0.03,0.3,sigmoid,0.0153,0.0019,811.28,19.45
0.03,0.6,linear,0.7951,0.8126,241.55,12.83
0.03,0.6,poly,0.7778,0.7852,112.43,8.57
0.03,0.6,rbf,0.1208,0.1266,925.46,31.39
0.03,0.6,sigmoid,0.0299,0.0048,814.75,20.03
0.03,1,linear,0.7951,0.8126,243.00,12.41
0.03,1,poly,0.7722,0.7808,104.72,7.94
0.03,1,rbf,0.1187,0.1157,911.20,32.70
0.03,1,sigmoid,0.0333,0.0039,789.86,19.12
0.1,0.0001,linear,0.8799,0.8854,181.65,10.32
0.1,0.0001,poly,0.0826,0.0572,789.42,20.07
0.1,0.0001,rbf,0.1757,0.1583,911.46,32.98
0.1,0.0001,sigmoid,0.1722,0.1547,813.65,20.09
0.1,0.0003,linear,0.8799,0.8854,181.07,10.40
0.1,0.0003,poly,0.0826,0.0572,832.71,19.49
0.1,0.0003,rbf,0.1771,0.1564,912.17,33.34
0.1,0.0003,sigmoid,0.1715,0.1529,802.63,20.17
0.1,0.006,linear,0.8799,0.8854,181.90,10.39
0.1,0.006,poly,0.4021,0.4695,545.28,17.51
0.1,0.006,rbf,0.4451,0.4607,766.53,32.57
0.1,0.006,sigmoid,0.1306,0.1266,795.06,19.86
0.1,0.001,linear,0.8799,0.8854,184.61,10.60
0.1,0.001,poly,0.0847,0.0569,837.37,19.54
0.1,0.001,rbf,0.2562,0.2466,816.07,32.81
0.1,0.001,sigmoid,0.2097,0.1935,755.30,20.33
0.1,0.003,linear,0.8799,0.8854,179.70,10.71
0.1,0.003,poly,0.2590,0.3117,659.62,18.85
0.1,0.003,rbf,0.3785,0.3908,795.72,32.93
0.1,0.003,sigmoid,0.2146,0.1710,780.26,20.18
0.1,0.006,linear,0.8799,0.8854,184.33,10.21
0.1,0.006,poly,0.4021,0.4695,551.79,17.51
0.1,0.006,rbf,0.4451,0.4607,756.43,32.79
0.1,0.006,sigmoid,0.1306,0.1266,770.37,20.03
0.1,0.01,linear,0.8799,0.8854,184.40,10.55
0.1,0.01,poly,0.5312,0.5962,425.79,15.72
0.1,0.01,rbf,0.4951,0.5167,741.75,31.94
0.1,0.01,sigmoid,0.0451,0.0240,772.26,19.95
0.1,0.03,linear,0.8799,0.8854,181.86,10.39
0.1,0.03,poly,0.6875,0.7318,259.33,12.54
0.1,0.03,rbf,0.4375,0.4574,797.21,32.65
0.1,0.03,sigmoid,0.0174,0.0078,745.52,19.93
0.1,0.06,linear,0.8799,0.8854,177.05,10.64
0.1,0.06,poly,0.7333,0.7641,197.79,10.60
0.1,0.06,rbf,0.3354,0.3696,830.74,32.05
0.1,0.06,sigmoid,0.0201,0.0070,773.64,19.95
0.1,0.1,linear,0.8799,0.8854,181.84,10.68
0.1,0.1,poly,0.7451,0.7641,166.12,9.70
0.1,0.1,rbf,0.2604,0.2796,853.73,32.81
0.1,0.1,sigmoid,0.0153,0.0023,804.82,20.09
0.1,0.3,linear,0.8799,0.8854,182.65,10.73
0.1,0.3,poly,0.7889,0.7955,122.22,8.26
0.1,0.3,rbf,0.1507,0.1624,907.31,33.00
0.1,0.3,sigmoid,0.0153,0.0019,809.03,20.20
0.1,0.6,linear,0.8799,0.8854,176.79,10.46
0.1,0.6,poly,0.7722,0.7805,105.60,7.87
0.1,0.6,rbf,0.1271,0.1360,916.69,32.95
0.1,0.6,sigmoid,0.0299,0.0048,803.24,19.71
0.1,1,linear,0.8799,0.8854,180.59,10.57
0.1,1,poly,0.7708,0.7796,99.75,7.59
0.1,1,rbf,0.1229,0.1217,919.63,32.85
0.1,1,sigmoid,0.0333,0.0039,810.09,20.34
0.3,0.0001,linear,0.9215,0.9226,142.61,9.02
0.3,0.0001,poly,0.0826,0.0572,836.25,20.34
0.3,0.0001,rbf,0.1778,0.1588,914.27,34.04
0.3,0.0001,sigmoid,0.1722,0.1543,803.99,20.23
0.3,0.0003,linear,0.9215,0.9226,144.10,8.72
0.3,0.0003,poly,0.0826,0.0572,839.35,20.08
0.3,0.0003,rbf,0.2542,0.2539,832.24,33.02
0.3,0.0003,sigmoid,0.2000,0.1894,772.84,20.33
0.3,0.006,linear,0.9215,0.9226,147.13,8.71
0.3,0.006,poly,0.4868,0.5514,471.90,16.22
0.3,0.006,rbf,0.5931,0.6252,582.07,30.68
0.3,0.006,sigmoid,0.1090,0.0984,527.24,19.55
0.3,0.001,linear,0.9215,0.9226,147.47,9.05
0.3,0.001,poly,0.1181,0.1035,801.33,20.21
0.3,0.001,rbf,0.4076,0.4332,724.53,32.59
0.3,0.001,sigmoid,0.3118,0.3255,686.87,19.53
0.3,0.003,linear,0.9215,0.9226,144.28,8.93
0.3,0.003,poly,0.3340,0.3980,565.34,17.99
0.3,0.003,rbf,0.5292,0.5550,633.74,31.41
0.3,0.003,sigmoid,0.2472,0.2482,636.56,20.13
0.3,0.006,linear,0.9215,0.9226,143.62,8.83
0.3,0.006,poly,0.4868,0.5514,440.24,16.11
0.3,0.006,rbf,0.5931,0.6252,607.03,30.51
0.3,0.006,sigmoid,0.1090,0.0984,535.77,20.10
0.3,0.01,linear,0.9215,0.9226,145.76,9.15
0.3,0.01,poly,0.6021,0.6572,354.67,14.76
0.3,0.01,rbf,0.6354,0.6670,566.44,29.68
0.3,0.01,sigmoid,0.0493,0.0269,511.41,19.82
0.3,0.03,linear,0.9215,0.9226,142.63,8.99
0.3,0.03,poly,0.7174,0.7552,215.92,11.86
0.3,0.03,rbf,0.6743,0.6928,660.00,30.74
0.3,0.03,sigmoid,0.0174,0.0031,577.37,19.31
0.3,0.06,linear,0.9215,0.9226,142.79,8.94
0.3,0.06,poly,0.7458,0.7676,173.95,9.68
0.3,0.06,rbf,0.5333,0.5787,737.93,31.37
0.3,0.06,sigmoid,0.0236,0.0106,667.27,19.13
0.3,0.1,linear,0.9215,0.9226,143.73,8.65
0.3,0.1,poly,0.7590,0.7695,145.52,9.37
0.3,0.1,rbf,0.4681,0.5111,789.53,31.60
0.3,0.1,sigmoid,0.0215,0.0083,748.60,19.51
0.3,0.3,linear,0.9215,0.9226,143.71,9.04
0.3,0.3,poly,0.7778,0.7858,114.15,8.33
0.3,0.3,rbf,0.2833,0.3343,844.45,32.97
0.3,0.3,sigmoid,0.0153,0.0019,809.19,20.12
0.3,0.6,linear,0.9215,0.9226,138.04,9.01
0.3,0.6,poly,0.7757,0.7842,100.23,8.10
0.3,0.6,rbf,0.1944,0.2376,890.48,33.03
0.3,0.6,sigmoid,0.0299,0.0048,792.35,19.79
0.3,1,linear,0.9215,0.9226,140.75,8.69
0.3,1,poly,0.7618,0.7705,96.42,7.57
0.3,1,rbf,0.1694,0.1980,906.41,31.94
0.3,1,sigmoid,0.0333,0.0039,801.40,20.16
