Processor used to perform tests: Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz
C,gamma,kernel,test_accuracy,test_f1_weighted,learn_time,test_time
80,0.011,rbf,0.9389,0.9392,247.89,19.59
80,0.013000000000000001,rbf,0.9382,0.9384,254.12,17.89
80,0.015,rbf,0.9333,0.9338,306.19,26.83
80,0.017,rbf,0.9347,0.9352,333.83,19.82
80,0.019000000000000003,rbf,0.9313,0.9317,350.27,23.77
80,0.021,rbf,0.9306,0.9309,383.33,20.02
80,0.023,rbf,0.9306,0.9310,377.00,27.43
80,0.025,rbf,0.9299,0.9303,437.05,25.59
80,0.027000000000000003,rbf,0.9299,0.9303,446.23,27.93
80,0.029,rbf,0.9278,0.9282,447.89,24.91
80,0.031,rbf,0.9264,0.9268,496.35,21.12
85,0.001,rbf,0.9153,0.9175,169.98,14.09
85,0.003,rbf,0.9326,0.9330,169.64,16.90
85,0.005,rbf,0.9347,0.9350,176.17,17.29
85,0.007,rbf,0.9389,0.9392,184.35,15.96
85,0.009000000000000001,rbf,0.9396,0.9398,231.14,17.02
85,0.011,rbf,0.9382,0.9384,225.80,21.40
85,0.013000000000000001,rbf,0.9368,0.9371,272.68,24.85
85,0.015,rbf,0.9354,0.9358,316.49,23.20
85,0.017,rbf,0.9347,0.9352,336.93,23.50
85,0.019000000000000003,rbf,0.9313,0.9317,355.19,25.02
85,0.021,rbf,0.9313,0.9317,376.85,25.51
85,0.023,rbf,0.9313,0.9317,405.75,26.77
85,0.025,rbf,0.9299,0.9303,418.55,19.63
85,0.027000000000000003,rbf,0.9306,0.9310,448.76,19.89
85,0.029,rbf,0.9278,0.9282,473.62,21.31
85,0.031,rbf,0.9271,0.9275,480.44,22.27
90,0.001,rbf,0.9146,0.9167,166.65,14.39
90,0.003,rbf,0.9333,0.9337,170.77,18.32
90,0.005,rbf,0.9361,0.9363,167.89,20.54
90,0.007,rbf,0.9396,0.9399,182.93,17.82
90,0.009000000000000001,rbf,0.9382,0.9384,222.10,21.22
90,0.011,rbf,0.9375,0.9378,230.14,16.93
90,0.013000000000000001,rbf,0.9354,0.9357,244.54,17.52
90,0.015,rbf,0.9354,0.9359,297.74,18.20
90,0.017,rbf,0.9340,0.9346,330.53,22.84
90,0.019000000000000003,rbf,0.9306,0.9311,351.03,20.78
90,0.021,rbf,0.9313,0.9317,377.64,24.02
90,0.023,rbf,0.9319,0.9324,419.61,19.30
90,0.025,rbf,0.9299,0.9303,422.91,24.31
90,0.027000000000000003,rbf,0.9299,0.9303,413.51,26.62
90,0.029,rbf,0.9278,0.9282,472.70,27.27
90,0.031,rbf,0.9264,0.9268,475.88,25.93
95,0.001,rbf,0.9187,0.9205,168.27,14.35
95,0.003,rbf,0.9333,0.9337,191.07,19.08
95,0.005,rbf,0.9368,0.9370,165.60,20.72
95,0.007,rbf,0.9396,0.9399,189.94,19.34
95,0.009000000000000001,rbf,0.9396,0.9398,214.64,22.57
95,0.011,rbf,0.9368,0.9371,242.50,17.10
95,0.013000000000000001,rbf,0.9354,0.9357,260.15,24.32
95,0.015,rbf,0.9347,0.9352,294.59,26.69
95,0.017,rbf,0.9333,0.9339,331.79,25.27
95,0.019000000000000003,rbf,0.9313,0.9318,326.21,26.12
95,0.021,rbf,0.9326,0.9331,336.32,23.82
95,0.023,rbf,0.9319,0.9325,409.54,18.81
95,0.025,rbf,0.9306,0.9310,420.21,19.44
95,0.027000000000000003,rbf,0.9299,0.9303,457.61,28.44
95,0.029,rbf,0.9264,0.9268,471.53,27.98
95,0.031,rbf,0.9264,0.9268,524.24,21.91
100,0.001,rbf,0.9201,0.9220,176.80,17.85
100,0.003,rbf,0.9313,0.9317,150.81,16.60
100,0.005,rbf,0.9368,0.9371,172.00,15.72
100,0.007,rbf,0.9389,0.9392,190.07,15.87
100,0.009000000000000001,rbf,0.9403,0.9405,217.33,17.27
100,0.011,rbf,0.9382,0.9385,248.19,17.17
100,0.013000000000000001,rbf,0.9368,0.9371,267.25,20.58
100,0.015,rbf,0.9347,0.9352,289.60,18.28
100,0.017,rbf,0.9333,0.9339,314.22,25.70
100,0.019000000000000003,rbf,0.9319,0.9325,354.38,19.33
100,0.021,rbf,0.9326,0.9331,346.35,18.98
100,0.023,rbf,0.9333,0.9339,371.90,13.66
100,0.025,rbf,0.9306,0.9310,361.95,11.04
100,0.027000000000000003,rbf,0.9292,0.9297,347.99,10.76
100,0.029,rbf,0.9264,0.9268,352.68,6.88
100,0.031,rbf,0.9257,0.9261,310.31,6.13
