Processor used to perform tests: Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz
C,gamma,kernel,test_accuracy,test_f1_weighted,learn_time,test_time
60,0.001,rbf,0.8938,0.8973,160.51,16.68
60,0.003,rbf,0.9333,0.9339,137.90,16.35
60,0.005,rbf,0.9333,0.9336,142.96,17.18
60,0.007,rbf,0.9340,0.9344,163.12,18.37
60,0.009000000000000001,rbf,0.9368,0.9372,188.16,18.84
60,0.011,rbf,0.9382,0.9386,214.29,19.80
60,0.013000000000000001,rbf,0.9389,0.9391,241.14,20.62
60,0.015,rbf,0.9382,0.9386,269.68,20.91
60,0.017,rbf,0.9347,0.9352,304.02,21.42
60,0.019000000000000003,rbf,0.9313,0.9318,325.66,22.11
60,0.021,rbf,0.9306,0.9310,347.80,22.00
60,0.023,rbf,0.9299,0.9303,373.74,22.88
60,0.025,rbf,0.9292,0.9295,408.02,23.96
60,0.027000000000000003,rbf,0.9271,0.9275,435.43,22.87
60,0.029,rbf,0.9243,0.9246,461.30,25.26
60,0.031,rbf,0.9236,0.9240,491.32,23.05
65,0.001,rbf,0.9007,0.9037,190.53,16.41
65,0.003,rbf,0.9326,0.9332,162.87,15.66
65,0.005,rbf,0.9340,0.9342,175.34,19.01
65,0.007,rbf,0.9347,0.9352,204.05,17.66
65,0.009000000000000001,rbf,0.9375,0.9378,218.87,18.41
65,0.011,rbf,0.9389,0.9391,235.31,19.53
65,0.013000000000000001,rbf,0.9410,0.9412,255.95,20.69
65,0.015,rbf,0.9361,0.9366,289.00,21.06
65,0.017,rbf,0.9333,0.9338,305.11,21.59
65,0.019000000000000003,rbf,0.9306,0.9311,330.88,22.17
65,0.021,rbf,0.9306,0.9309,352.45,21.82
65,0.023,rbf,0.9299,0.9303,381.88,22.44
65,0.025,rbf,0.9292,0.9295,412.57,23.02
65,0.027000000000000003,rbf,0.9285,0.9289,426.47,23.29
65,0.029,rbf,0.9250,0.9253,450.36,23.80
65,0.031,rbf,0.9243,0.9247,478.59,23.58
70,0.001,rbf,0.9042,0.9070,177.97,16.52
70,0.003,rbf,0.9333,0.9340,158.30,16.66
70,0.005,rbf,0.9333,0.9335,167.87,17.37
70,0.007,rbf,0.9368,0.9371,186.60,18.30
70,0.009000000000000001,rbf,0.9382,0.9385,209.49,18.78
70,0.011,rbf,0.9382,0.9385,233.52,19.57
70,0.013000000000000001,rbf,0.9410,0.9412,262.34,20.50
70,0.015,rbf,0.9347,0.9352,285.13,21.23
70,0.017,rbf,0.9326,0.9331,306.52,22.14
70,0.019000000000000003,rbf,0.9313,0.9317,331.54,21.73
70,0.021,rbf,0.9313,0.9317,358.44,21.95
70,0.023,rbf,0.9306,0.9310,376.98,22.24
70,0.025,rbf,0.9285,0.9289,401.27,23.07
70,0.027000000000000003,rbf,0.9292,0.9296,431.58,23.88
70,0.029,rbf,0.9278,0.9282,463.60,22.80
70,0.031,rbf,0.9250,0.9254,482.90,23.22
75,0.001,rbf,0.9049,0.9078,173.26,16.91
75,0.003,rbf,0.9319,0.9325,156.00,16.07
75,0.005,rbf,0.9347,0.9351,168.37,18.39
75,0.007,rbf,0.9375,0.9378,188.28,17.96
75,0.009000000000000001,rbf,0.9389,0.9391,212.03,19.24
75,0.011,rbf,0.9375,0.9378,229.84,20.59
75,0.013000000000000001,rbf,0.9403,0.9405,261.04,20.13
75,0.015,rbf,0.9340,0.9345,286.15,21.56
75,0.017,rbf,0.9333,0.9339,312.14,21.38
75,0.019000000000000003,rbf,0.9306,0.9310,337.89,21.66
75,0.021,rbf,0.9313,0.9317,358.74,21.73
75,0.023,rbf,0.9306,0.9310,386.26,23.38
75,0.025,rbf,0.9292,0.9296,400.23,23.59
75,0.027000000000000003,rbf,0.9299,0.9303,424.06,23.50
75,0.029,rbf,0.9278,0.9282,463.84,23.37
75,0.031,rbf,0.9257,0.9261,472.66,27.66
80,0.001,rbf,0.9090,0.9114,173.81,16.17
80,0.003,rbf,0.9333,0.9338,156.59,16.49
80,0.005,rbf,0.9347,0.9350,165.06,18.08
80,0.007,rbf,0.9382,0.9385,186.09,16.03
80,0.009000000000000001,rbf,0.9389,0.9391,214.64,18.70
