Processor used to perform tests: Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz
C,gamma,kernel,test_accuracy,test_f1_weighted,learn_time,test_time
0.6,1,linear,0.9208,0.9215,110.97,7.40
0.7,1,linear,0.9264,0.9271,92.59,9.02
0.7999999999999999,1,linear,0.9285,0.9290,87.68,8.63
0.8999999999999999,1,linear,0.9292,0.9300,86.06,8.88
0.9999999999999999,1,linear,0.9285,0.9295,88.90,8.55
1.0999999999999999,1,linear,0.9250,0.9260,85.17,8.48
1.1999999999999997,1,linear,0.9229,0.9237,96.65,7.44
1.2999999999999998,1,linear,0.9201,0.9209,92.08,8.76
1.4,1,linear,0.9208,0.9216,97.22,8.50
1.4999999999999998,1,linear,0.9229,0.9237,96.66,8.10
1.5999999999999996,1,linear,0.9243,0.9252,99.39,8.57
1.6999999999999997,1,linear,0.9250,0.9259,100.42,8.14
1.7999999999999998,1,linear,0.9257,0.9266,105.05,7.30
1.9,1,linear,0.9243,0.9253,107.96,7.70
1.9999999999999996,1,linear,0.9229,0.9238,110.34,7.79
2.0999999999999996,1,linear,0.9208,0.9217,115.86,7.48
2.1999999999999997,1,linear,0.9215,0.9225,106.70,9.10
2.3,1,linear,0.9208,0.9218,107.14,8.45
2.3999999999999995,1,linear,0.9215,0.9225,112.42,7.55
2.4999999999999996,1,linear,0.9215,0.9225,112.45,7.55
2.5999999999999996,1,linear,0.9222,0.9232,112.63,5.13
2.6999999999999997,1,linear,0.9236,0.9245,113.19,4.08
2.7999999999999994,1,linear,0.9215,0.9225,109.31,3.79
2.8999999999999995,1,linear,0.9215,0.9225,97.59,2.12
2.9999999999999996,1,linear,0.9208,0.9219,35.39,1.86
