Processor used to perform tests: Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz
C,gamma,kernel,test_accuracy,test_f1_weighted,learn_time,test_time
0.6,1,linear,0.9208,0.9215,100.32,7.93
0.61,1,linear,0.9208,0.9215,86.55,9.26
0.62,1,linear,0.9215,0.9223,87.43,8.88
0.63,1,linear,0.9215,0.9223,88.08,9.09
0.64,1,linear,0.9229,0.9237,86.32,9.16
0.65,1,linear,0.9243,0.9249,101.53,8.06
0.66,1,linear,0.9243,0.9250,89.53,8.79
0.67,1,linear,0.9243,0.9250,107.16,7.65
0.68,1,linear,0.9250,0.9257,109.35,8.64
0.6900000000000001,1,linear,0.9250,0.9257,107.68,8.43
0.7000000000000001,1,linear,0.9264,0.9271,109.37,8.73
0.7100000000000001,1,linear,0.9264,0.9270,112.14,8.17
0.7200000000000001,1,linear,0.9264,0.9269,118.68,7.98
0.7300000000000001,1,linear,0.9264,0.9269,119.82,8.13
0.7400000000000001,1,linear,0.9271,0.9276,119.16,8.04
0.7500000000000001,1,linear,0.9292,0.9297,118.95,7.80
0.7600000000000001,1,linear,0.9292,0.9297,110.44,8.49
0.7700000000000001,1,linear,0.9292,0.9297,109.24,8.58
0.7800000000000001,1,linear,0.9285,0.9290,118.65,8.17
0.7900000000000001,1,linear,0.9285,0.9290,120.10,8.10
0.8000000000000002,1,linear,0.9285,0.9290,121.62,8.57
0.8100000000000002,1,linear,0.9264,0.9271,112.64,8.49
0.8200000000000002,1,linear,0.9257,0.9266,111.42,8.22
0.8300000000000002,1,linear,0.9264,0.9273,126.68,7.49
0.8400000000000002,1,linear,0.9278,0.9287,118.01,8.44
0.8500000000000002,1,linear,0.9278,0.9287,119.68,8.19
0.8600000000000002,1,linear,0.9285,0.9293,118.19,8.14
0.8700000000000002,1,linear,0.9285,0.9293,118.23,8.93
0.8800000000000002,1,linear,0.9285,0.9294,110.05,8.97
0.8900000000000002,1,linear,0.9285,0.9293,119.65,7.88
0.9000000000000002,1,linear,0.9292,0.9300,111.37,8.24
0.9100000000000003,1,linear,0.9285,0.9293,127.18,8.33
0.9200000000000003,1,linear,0.9278,0.9287,119.24,8.25
0.9300000000000003,1,linear,0.9285,0.9293,116.88,8.26
0.9400000000000003,1,linear,0.9285,0.9293,111.44,8.58
0.9500000000000003,1,linear,0.9285,0.9295,107.27,8.32
0.9600000000000003,1,linear,0.9278,0.9288,110.06,6.36
0.9700000000000003,1,linear,0.9285,0.9295,114.91,3.05
0.9800000000000003,1,linear,0.9285,0.9295,111.48,2.25
0.9900000000000003,1,linear,0.9292,0.9302,89.33,1.86
